mlm_prompt,masked_token
أحب الشعب العماني و أحب دولة <mask>.,عمان
أحب دولة عمان و أحب الشعب <mask>.,العماني
أحب الشعب الفلسطيني و أحب دولة <mask>.,فلسطين
أحب دولة فلسطين و أحب الشعب <mask>.,الفلسطيني
أحب الشعب القطري و أحب دولة <mask>.,قطر
أحب دولة قطر و أحب الشعب <mask>.,القطري
أحب الشعب السعودي و أحب دولة <mask>.,السعودية
أحب دولة السعودية و أحب الشعب <mask>.,السعودي
أحب الشعب الصومالي و أحب دولة <mask>.,الصومال
أحب دولة الصومال و أحب الشعب <mask>.,الصومالي
أحب الشعب السوداني و أحب دولة <mask>.,السودان
أحب دولة السودان و أحب الشعب <mask>.,السوداني
أحب الشعب السوري و أحب دولة <mask>.,سوريا
أحب دولة سوريا و أحب الشعب <mask>.,السوري
أحب الشعب التونسي و أحب دولة <mask>.,تونس
أحب دولة تونس و أحب الشعب <mask>.,التونسي
أحب الشعب اليمني و أحب دولة <mask>.,اليمن
أحب دولة اليمن و أحب الشعب <mask>.,اليمني
الدينار هي عملة دولة <mask>.,الجزائر
عملة دولة الجزائر هي <mask>.,الدينار
الدينار هي عملة دولة <mask>.,البحرين
عملة دولة البحرين هي <mask>.,الدينار
الفرنك هي عملة دولة <mask>.,جيبوتي
عملة دولة جيبوتي هي <mask>.,الفرنك
الجنيه هي عملة دولة <mask>.,مصر
عملة دولة مصر هي <mask>.,الجنيه
الدينار هي عملة دولة <mask>.,العراق
عملة دولة العراق هي <mask>.,الدينار
الدينار هي عملة دولة <mask>.,الأردن
عملة دولة الأردن هي <mask>.,الدينار
الدينار هي عملة دولة <mask>.,الكويت
عملة دولة الكويت هي <mask>.,الدينار
الجنيه هي عملة دولة <mask>.,لبنان
عملة دولة لبنان هي <mask>.,الجنيه
الدينار هي عملة دولة <mask>.,ليبيا
عملة دولة ليبيا هي <mask>.,الدينار
الأوقية هي عملة دولة <mask>.,موريتانيا
عملة دولة موريتانيا هي <mask>.,الأوقية
الدرهم هي عملة دولة <mask>.,المغرب
عملة دولة المغرب هي <mask>.,الدرهم
الريال هي عملة دولة <mask>.,عمان
عملة دولة عمان هي <mask>.,الريال
الجنيه هي عملة دولة <mask>.,فلسطين
عملة دولة فلسطين هي <mask>.,الجنيه
الريال هي عملة دولة <mask>.,قطر
عملة دولة قطر هي <mask>.,الريال
الريال هي عملة دولة <mask>.,السعودية
عملة دولة السعودية هي <mask>.,الريال
الشلن هي عملة دولة <mask>.,الصومال
عملة دولة الصومال هي <mask>.,الشلن
الجنيه هي عملة دولة <mask>.,السودان
عملة دولة السودان هي <mask>.,الجنيه
الجنيه هي عملة دولة <mask>.,سوريا
عملة دولة سوريا هي <mask>.,الجنيه
الدينار هي عملة دولة <mask>.,تونس
عملة دولة تونس هي <mask>.,الدينار
الريال هي عملة دولة <mask>.,اليمن
عملة دولة اليمن هي <mask>.,الريال
تقع دولة الجزائر في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,الجزائر
تقع دولة البحرين في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,البحرين
تقع دولة جيبوتي في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,جيبوتي
تقع دولة مصر في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,مصر
تقع دولة العراق في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,العراق
تقع دولة الأردن في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,الأردن
تقع دولة الكويت في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,الكويت
تقع دولة لبنان في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,لبنان
تقع دولة ليبيا في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,ليبيا
تقع دولة موريتانيا في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,موريتانيا
تقع دولة المغرب في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,المغرب
تقع دولة عمان في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,عمان
تقع دولة فلسطين في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,فلسطين
تقع دولة قطر في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,قطر
تقع دولة السعودية في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,السعودية
تقع دولة الصومال في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,الصومال
تقع دولة السودان في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,السودان
تقع دولة سوريا في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,سوريا
تقع دولة تونس في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,تونس
تقع دولة اليمن في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,اليمن
